CCAA;PROVINCIA;MUNICIPIO;CCA;CPROV;CMUN;NATCODE;COLOR;PARTIDO;VOTOS
Andalucía;Almería;Abla;01;04;001;34010404001;#ABAAAD;psoe;411
Andalucía;Almería;Abla;01;04;001;34010404001;#ABAAAD;pp;347
Andalucía;Almería;Abla;01;04;001;34010404001;#ABAAAD;podemos;16
Andalucía;Almería;Abrucena;01;04;002;34010404002;#ABAAAD;psoe;516
Andalucía;Almería;Abrucena;01;04;002;34010404002;#ABAAAD;pp;239
Andalucía;Almería;Abrucena;01;04;002;34010404002;#ABAAAD;vox;49
Andalucía;Almería;Adra;01;04;003;34010404003;#ABAAAD;pp;5178
Andalucía;Almería;Adra;01;04;003;34010404003;#ABAAAD;psoe;2600
Andalucía;Almería;Adra;01;04;003;34010404003;#ABAAAD;vox;1131
Andalucía;Almería;Adra;01;04;003;34010404003;#ABAAAD;plataformadra;959
Andalucía;Almería;Albanchez;01;04;004;34010404004;#ABAAAD;pp;286
Andalucía;Almería;Albanchez;01;04;004;34010404004;#ABAAAD;psoe;115
Andalucía;Almería;Alboloduy;01;04;005;34010404005;#ABAAAD;pp;260
Andalucía;Almería;Alboloduy;01;04;005;34010404005;#ABAAAD;psoe;139
Andalucía;Almería;Albox;01;04;006;34010404006;#ABAAAD;pp;2259
Andalucía;Almería;Albox;01;04;006;34010404006;#ABAAAD;ucin;1716
Andalucía;Almería;Albox;01;04;006;34010404006;#ABAAAD;psoe;1005
Andalucía;Almería;Albox;01;04;006;34010404006;#ABAAAD;vox;59
Andalucía;Almería;Alcolea;01;04;007;34010404007;#ABAAAD;pp;366
Andalucía;Almería;Alcolea;01;04;007;34010404007;#ABAAAD;psoe;94
Andalucía;Almería;Alcolea;01;04;007;34010404007;#ABAAAD;podemos;14
Andalucía;Almería;Alcóntar;01;04;008;34010404008;#ABAAAD;pp;250
Andalucía;Almería;Alcóntar;01;04;008;34010404008;#ABAAAD;e-v;151
Andalucía;Almería;Alcóntar;01;04;008;34010404008;#ABAAAD;psoe;12
Andalucía;Almería;Alcudia de Monteagud;01;04;009;34010404009;#ABAAAD;pp;53
Andalucía;Almería;Alcudia de Monteagud;01;04;009;34010404009;#ABAAAD;vox;17
Andalucía;Almería;Alcudia de Monteagud;01;04;009;34010404009;#ABAAAD;psoe;5
Andalucía;Almería;Alhabia;01;04;010;34010404010;#ABAAAD;pp;237
Andalucía;Almería;Alhabia;01;04;010;34010404010;#ABAAAD;psoe;218
Andalucía;Almería;Alhama de Almería;01;04;011;34010404011;#ABAAAD;pp;1299
Andalucía;Almería;Alhama de Almería;01;04;011;34010404011;#ABAAAD;psoe;780
Andalucía;Almería;Alhama de Almería;01;04;011;34010404011;#ABAAAD;podemos;128
Andalucía;Almería;Alhama de Almería;01;04;011;34010404011;#ABAAAD;vox;60
Andalucía;Almería;Alicún;01;04;012;34010404012;#ABAAAD;psoe;116
Andalucía;Almería;Alicún;01;04;012;34010404012;#ABAAAD;pp;22
Andalucía;Almería;Alicún;01;04;012;34010404012;#ABAAAD;vox;4
Andalucía;Almería;Alicún;01;04;012;34010404012;#ABAAAD;podemos;1
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;pp;37577
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;psoe;18156
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;vox;10131
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;podemos;3996
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;almeria-avanza;1463
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;ciudadanos;1286
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;almeria-suma;1273
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;alm;1069
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;pacma;919
Andalucía;Almería;Almería;01;04;013;34010404013;#ABAAAD;escanos-en-blanco;257
Andalucía;Almería;Almócita;01;04;014;34010404014;#ABAAAD;psoe;79
